37	37
53	53
84	84
126	126
138	138
142	142
191	191
213	213
283	283
293	293
293	293
296	296
309	309
395	395
397	397
404	404
410	410
496	496
517	517
571	571
632	632
651	651
651	651
685	685
697	697
700	700
729	729
789	789
844	844
915	915
918	918
920	920
923	923
984	984
995	995
1066	1066
1085	1085
1085	1085
1201	1201
1244	1244
1250	1250
1273	1273
1337	1337
1369	1369
1409	1409
1430	1430
1451	1451
1571	1571
1574	1574
1576	1576
1620	1620
1711	1711
1712	1712
1750	1750
1791	1791
1795	1795
1799	1799
1831	1831
1839	1839
1842	1842
1950	1950
1959	1959
1967	1967
1967	1967
1980	1980
2004	2004
2031	2031
2047	2047
2075	2075
2109	2109
2190	2190
2197	2197
2222	2222
2238	2238
2290	2290
2349	2349
2425	2425
2459	2459
2469	2469
2522	2522
2737	2737
2862	2862
2918	2918
2952	2952
2970	2970
3033	3033
3042	3042
3062	3062
3088	3088
3157	3157
3196	3196
3299	3299
3300	3300
3334	3334
3420	3420
3427	3427
3511	3511
3794	3794
3849	3849
3954	3954
3991	3991
4017	4017
4117	4117
